nume,esteRedus,pret_actual,pret_vechi,id
Deodorant antiperspirant stick Nivea Black&White Invisible Clear 40ML,NU,13.53,"",1090053
Deodorant antiperspirant stick Nivea Men Silver Protect 40ML,NU,13.53,"",1090052
"Perie rotativa cu aer cald Remington AS8606, 800 W, 4 accesorii, Ionizare, Gri/Bronz",DA,239.9,349.9,1089978
"Ondulator de par Remington CI1A119, 190 grade, Invelis ceramic, Negru/Roz",DA,69.9,79.9,1089929
"Placa de parul Remington Silk S9600, 240 grade, LCD, invelis ceramic, Rosu",NU,249.9,"",1089903
Banda microperforata Megaplast 50x6cm,NU,5.99,"",1089788
Set plasturi diferite dimensiuni Megaplast 50 bucati,NU,7.7,"",1089787
"Plasturi tratament pentru bataturi, Pharmadoct 6 bucati",NU,5.12,"",1089786
"Plasturi impermeabili, Pharmadoct 20 bucati",NU,7.5,"",1089785
"Plasturi hipoalergenici, Pharmadoct 20 bucati",NU,5.12,"",1089784
"Aparat de tuns barba si parul corporal Philips OneBlade Pro QP6650/61, pieptene cu 14 lungimi, pieptene corp, autonomie 120 min, Gri",DA,399.9,529.9,1089723
Spray antibacterian Clineo 80 ML,NU,15.2,"",1089663
"Periuta de dinti electrica Philips Sonicare Kids HX6352/42, 62000/min, 2 moduri de curatare, 2 capete de periere, Roz",DA,169.9,259.9,1089469
Apa de gura pentru dinti sensibili elmex Sensitive 400ml,NU,24.8,"",1085020
Apa de gura elmex Caries Protection 400ml,NU,24.8,"",1085019
"Pasta de dinti pentru dinti sensibili, elmex Sensitive, 75ml",NU,"","",1085018
"Pasta de dinti pentru protectie anticarie, elmex Caries Protection, 75ml",NU,"","",1085017
"Pasta de dinti pentru dinti sensibili, elmex Sensitive Whitening, 75ml",NU,"","",1085016
"Periuta de dinti elmex Caries Protection InterX, cu peri moi",NU,18.8,"",1085012
"Periuta de dinti elmex Ultra Soft, cu peri foarte subtiri",NU,19.95,"",1085011
"Periuta de dinti elmex Sensitive, cu peri moi",NU,18.8,"",1085010
"Cantar corporal Nalk & Rey NRBFC-21, conectare bluetooth, Alb",NU,49.9,"",1083511
"Cantar de baie Nalk & Rey NRBS280B-21, 150 Kg maxim, Verde",DA,34.9,39.9,1083510
"Masina de tuns Nalk & Rey NRHC14-17, autonomie 45 minute, 14 setari de lungime, Negru",NU,49.9,"",1083493
